id,header_id,set_id,priority_id,task,answer_given,risk_category_id,business_risk,control_risk,option_id,parameters,annexure,area_of_audit_id,is_active,admin_id,created_at,updated_at,deleted_at
0,22,1,1,Is there a documented acknowledgment from the borrower confirming that they have understood the contents of the KFS?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,22,1,1,How is this acknowledgment obtained and stored for future reference?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,23,1,1,Does the KFS include a computation of the Annual Percentage Rate (APR) for all loans?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,23,1,1,"Are all fees, including third-party charges (e.g., insurance, legal fees), disclosed as part of the APR?",cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,24,1,1,"Is a detailed amortization schedule provided with the KFS, showing the breakdown of principal and interest payments over the loan tenure?",cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,24,1,1,Is a validity period clearly defined in the KFS for loans with a tenor of seven days or more (minimum three working days) and for loans with a tenor of less than seven days (minimum one working day)?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,24,1,1,Is the cooperative bank bound by the terms mentioned in the KFS if the borrower agrees to them within the validity period?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,25,1,1,Are all fees and charges mentioned in the KFS? Is there a process in place to ensure that no unmentioned fees are charged to the borrower during the loan period without their explicit consent?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,25,1,1,"Are penalties for delayed payments, foreclosure charges, or any other contingent charges clearly disclosed in the KFS?",cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,26,1,1,"Are third-party charges (e.g., insurance, legal fees) disclosed separately in the KFS?",cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,26,1,1,Are receipts and related documents for third-party charges provided to the borrower within a reasonable time?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,27,1,1,"For digital loans, is there a documented cooling-off period during which borrowers can exit the loan without penalty?",cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,27,1,1,"Is the cooling-off period in line with the board-approved policy, and does it comply with the minimum cooling-off period of one day?",cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,28,1,1,Is the KFS included as a summary box in the loan agreement?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,28,1,1,"Does the loan agreement explicitly detail the borrower’s engagement with recovery agents, if any?",cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,29,1,1,"Does the KFS include the contact details of the nodal grievance redressal officer, including phone number and email?",cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,29,1,1,"How is the grievance redressal process communicated to borrowers, and is it in compliance with RBI guidelines?",cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,30,1,1,Has the bank implemented the necessary systems and processes to comply with the KFS guidelines as required by the RBI?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,30,1,1,"Are all new retail and MSME loans sanctioned on or after October 1, 2024, fully compliant with the KFS guidelines?",cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,31,1,1,Are the bank staff properly trained and aware of the RBI guidelines on KFS?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,31,1,1,Is there a process in place to ensure that staff explain the KFS to borrowers during the loan application process?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,32,1,1,How is the validity period of the KFS tracked? Is there a system in place to ensure the loan terms provided in the KFS remain valid for the specified time frame?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
0,33,1,1,Are there measures in place to ensure that the borrower’s personal information and loan details in the KFS are securely stored and protected?,cooperative bank,1,1,1,3,NULL,NULL,3,1,84,26-09-2024 17.35,26-09-2024 17.35,NULL
